Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ000002BrKr2AK,Buprenorphine modified release solution for injection (Sublocade),A-03106,SUBLOCADE®,Buprenorphine modified release solution for injection (Sublocade),PHARMACY RETAILING (NZ) LIMITED,"Opioid dependence, maintenance treatment",Options Compared,Buprenorphine modified release solution for injection (Sublocade) (SUBLOCADE®),/apptracker/s/application-public/a102P00000Al9Ir,Nervous System
a0R2P000000fAU8UAM,Buprenorphine patches,A-00859 A-04380,Norspan,Buprenorphine patches,"Mundipharma, Clinician","Pain, persistent moderate/severe",Under Assessment,Buprenorphine patches (Norspan),/apptracker/s/application-public/a102P000008ptrY,Nervous System
a0R2P000000anV3UAI,Buprenorphine sublingual tablets,A-01359,,Buprenorphine sublingual tablets,Clinician,Opioid dependence during pregnancy and breastfeeding,Decision,Buprenorphine sublingual tablets,/apptracker/s/application-public/a102P000008puF8,Nervous System
a0ROZ000009J4M52AK,Buprenorphine sublingual tablets,A-00370,Temgesic,Buprenorphine sublingual tablets,Clinician,Acute pain,Decision,Buprenorphine sublingual tablets (Temgesic),/apptracker/s/application-public/a102P000008ptoz,Nervous System
a0R2P000000LmkuUAC,Buprenorphine/naloxone,A-01521,Suboxone,Buprenorphine/naloxone,Reckitt Benckiser,Opioid dependence - detoxification and maintenance treatment,Decision,Buprenorphine/naloxone (Suboxone),/apptracker/s/application-public/a102P000008pucv,Nervous System
a0R2P000000LmlXUAS,Bupropion,A-01438,,Bupropion,Clinician,Depression,Decision,Bupropion,/apptracker/s/application-public/a102P000008puix,Nervous System
a0R2P000000Lmj7UAC,Bupropion Hydrochloride,A-00183,Zyban,Bupropion Hydrochloride,GlaxoSmithKline,Smoking cessation,Decision,Bupropion Hydrochloride (Zyban),/apptracker/s/application-public/a102P000008puFA,Nervous System
a0ROZ00000AqQQe2AN,Cannabidiol,A-04183,Epidyolex oral solution,Cannabidiol,Clinician,"Dravet Syndrome, adjunctive therapy",Options Compared,Cannabidiol (Epidyolex oral solution),/apptracker/s/application-public/a102P00000BTLIN,Nervous System
a0ROZ00000Cn1wv2AB,Cannabidiol with tetrahydrocannabinol,A-00385,Sativex,Cannabidiol with tetrahydrocannabinol,To be determined,"Multiple sclerosis spasticity, epilepsy, pain and spasticity",Options Compared,Cannabidiol with tetrahydrocannabinol (Sativex),/apptracker/s/application-public/a102P000008ptyj,Nervous System
a0ROZ000004CLBG2A4,Capsaicin 0.075% cream,A-00706,,Capsaicin 0.075% cream,Clinician,Cannabinoid hyperemesis syndrome,Decision,Capsaicin 0.075% cream,/apptracker/s/application-public/a102P000008puaE,Nervous System
a0ROZ000003Notf2AC,Cladribine,A-00685 A-04772,,Cladribine,"Merck Serono, Merck Healthcare Pty Ltd",relapsing-remitting multiple sclerosis,Options Compared,Cladribine,/apptracker/s/application-public/a102P000008puCH,Nervous System
a0ROZ00000DilgT2AR,Clozapine intramuscular,A-05226,Clozapine,Clozapine intramuscular,Clinician,"Treatment-refractory psychotic disorder, refusing oral clozapine",Seeking Clinical Advice,Clozapine intramuscular (Clozapine),/apptracker/s/application-public/a10OZ000007jbH7,Nervous System
a0R2P000000LmW5UAK,Dimethyl fumarate,A-00315,,Dimethyl fumarate,Biogen,"Multiple sclerosis, relapse remitting",Decision,Dimethyl fumarate,/apptracker/s/application-public/a102P000008ptyN,Nervous System
a0ROZ0000000QYn2AM,Duloxetine hydrochloride,A-00841 A-04689,Cymbalta,Duloxetine hydrochloride,"Eli Lilly, Clinician",Depression - treatment-resistant major depressive disorder,Decision,Duloxetine hydrochloride (Cymbalta),/apptracker/s/application-public/a102P000008puGi,Nervous System
a0ROZ00000BGaUG2A1,Erenumab,A-03753 A-03152 A-04113,Aimovig,Erenumab,"Clinician, Consumer",Chronic migraine prevention,Options Compared,Erenumab (Aimovig),/apptracker/s/application-public/a102P00000BIw0I,Nervous System
a0R2P000000LmWGUA0,Escitalopram,A-01083,Loxalate,Escitalopram,Lundbeck,Major/severe depression,Decision,Escitalopram (Loxalate),/apptracker/s/application-public/a102P000008ptyQ,Nervous System
a0R2P000000LmitUAC,Escitalopram,A-00812,Lexapro,Escitalopram,Lundbeck,Treatment-resistant depression (alternative to venlafaxine),Decision,Escitalopram (Lexapro),/apptracker/s/application-public/a102P000008puF1,Nervous System
a0R2P000000LmVSUA0,Escitalopram,A-00820,Lexapro,Escitalopram,Lundbeck,Obsessive compulsive disorder,Decision,Escitalopram (Lexapro),/apptracker/s/application-public/a102P000008ptxW,Nervous System
a0ROZ000004CRa12AG,Esketamine,A-03087,SPRAVATO,Esketamine,JANSSEN NZ LIMITED,Treatment-resistant depression,Decision,Esketamine (SPRAVATO),/apptracker/s/application-public/a102P000009Loyo,Nervous System
a0ROZ000004CKbx2AG,Esketamine hydrochloride.,A-03443,SPRAVATO®,Esketamine hydrochloride.,JANSSEN NZ LIMITED,Major depressive disorder with active suicidal ideation with intent (MDSI).,Decision,Esketamine hydrochloride. (SPRAVATO®),/apptracker/s/application-public/a102P00000AUOmP,Nervous System
a0R2P000000WkjaUAC,Fentanyl citrate sublingual tablets,A-00612,,Fentanyl citrate sublingual tablets,A Menarini,Pain management for oncology patients,Decision,Fentanyl citrate sublingual tablets,/apptracker/s/application-public/a102P000008ptyv,Nervous System
a0R2P000000LmaLUAS,Fentanyl patches,A-01478,Durogesic,Fentanyl patches,Janssen,Widen access for chronic pain of malignant origin and renal failure,Decision,Fentanyl patches (Durogesic),/apptracker/s/application-public/a102P000008puYO,Nervous System
a0R2P000000LmgHUAS,"Fentanyl patches, low-dose",A-01489,Durogesic,"Fentanyl patches, low-dose",Janssen,Pain,Decision,"Fentanyl patches, low-dose (Durogesic)",/apptracker/s/application-public/a102P000008ptpl,Nervous System
a0R2P000000TEsiUAG,Fingolimod,A-01161,Gilenya,Fingolimod,Novartis,Multiple sclerosis,Decision,Fingolimod (Gilenya),/apptracker/s/application-public/a102P000008puZQ,Nervous System
a0ROZ00000Dabb32AB,Foslevodopa foscarbidopa,A-05259,VYALEV,Foslevodopa foscarbidopa,ABBVIE LIMITED,Advanced Parkinson’s Disease (aPD) with severe motor fluctuations despite optimised alternative pharmacological treatment,Under Assessment,Foslevodopa foscarbidopa (VYALEV),/apptracker/s/application-public/a10OZ000003vpNR,Nervous System
a0ROZ00000CpJmT2AV,Fremanezumab,A-05285,Ajovy,Fremanezumab,TEVA PHARMA (NEW ZEALAND) LIMITED,Episodic migraine prevention,Seeking Clinical Advice,Fremanezumab (Ajovy),/apptracker/s/application-public/a10OZ000004REhJ,Nervous System
a0ROZ00000Cpc8P2AR,Fremanezumab,A-05285,Ajovy,Fremanezumab,TEVA PHARMA (NEW ZEALAND) LIMITED,Chronic migraine prevention,Seeking Clinical Advice,Fremanezumab (Ajovy),/apptracker/s/application-public/a10OZ000004REnl,Nervous System
a0ROZ0000007fOD2AY,Gabapentin,A-01198,Neurontin,Gabapentin,Pfizer,Neuropathic pain,Decision,Gabapentin (Neurontin),/apptracker/s/application-public/a102P000008puFh,Nervous System
a0R2P000000LmZTUA0,Gabapentin,A-00235,Arrow-Gabapentin,Gabapentin,Clinician,Uraemic pruritus,Decision,Gabapentin (Arrow-Gabapentin),/apptracker/s/application-public/a102P000008puZS,Nervous System
a0R2P000000TSeZUAW,Gabapentin,A-01441,Nupentin,Gabapentin,Clinician,"Headache, chronic, daily",Decision,Gabapentin (Nupentin),/apptracker/s/application-public/a102P000008puih,Nervous System
a0R2P000000LmjmUAC,Gabapentin,A-01197,Neurontin,Gabapentin,Parke Davis,Partial seizures in patients who have not achieved adequate control with other anti-epileptic drugs,Decision,Gabapentin (Neurontin),/apptracker/s/application-public/a102P000008pufT,Nervous System
a0R2P000000OcgqUAC,Galantamine,A-00986,Reminyl,Galantamine,Janssen,Alzheimer's disease (Dementia),Decision,Galantamine (Reminyl),/apptracker/s/application-public/a102P000008puPi,Nervous System
a0ROZ00000Cn1x12AB,Galcanezumab,A-04467 A-04893 A-04758,Emgality,Galcanezumab,Consumer,Episodic migraine prevention,Options Compared,Galcanezumab (Emgality),/apptracker/s/application-public/a102P00000BYQiM,Nervous System
a0ROZ00000BOqrx2AD,Galcanezumab,A-04467 A-04893 A-04758 A-05532,Emgality,Galcanezumab,Consumer,Chronic migraine prevention,Options Compared,Galcanezumab (Emgality),/apptracker/s/application-public/a102P00000BXRxH,Nervous System
a0R2P000000LmlTUAS,Glatiramer acetate,A-01181,Copaxone,Glatiramer acetate,Clinician,Multiple sclerosis,Decision,Glatiramer acetate (Copaxone),/apptracker/s/application-public/a102P000008puiv,Nervous System
a0ROZ00000DU91Z2AT,Guanfacine,A-03629 A-04528 A-04684 A-05346 A-04866 A-04949,Intuniv,Guanfacine,"TAKEDA NEW ZEALAND LIMITED, Clinician, Consumer",Attention deficit hyperactivity disorder (ADHD),Seeking Clinical Advice,Guanfacine (Intuniv),/apptracker/s/application-public/a102P00000B55Zn,Nervous System
a0R2P000000LmjiUAC,Hyoscine,A-01251,Scopoderm Tts,Hyoscine,Clinician,Clozapine-induced hypersalivation (CIH),Decision,Hyoscine (Scopoderm Tts),/apptracker/s/application-public/a102P000008puhr,Nervous System
a0R2P000000TGP4UAO,Infliximab,A-00461,Remicade,Infliximab,Subcommittee recommendation,Neurosarcoidosis,Decision,Infliximab (Remicade),/apptracker/s/application-public/a102P000008ptwS,Nervous System
a0R2P000000Lmq2UAC,Interferon beta-1-alpha,A-01185,Avonex,Interferon beta-1-alpha,CSL,Relapsing remitting multiple sclerosis,Decision,Interferon beta-1-alpha (Avonex),/apptracker/s/application-public/a102P000008puC3,Nervous System
a0R2P000000Lmo2UAC,Interferon beta-1-beta,A-01183,Betaferon,Interferon beta-1-beta,Bayer,Relapsing remitting multiple sclerosis,Decision,Interferon beta-1-beta (Betaferon),/apptracker/s/application-public/a102P000008ptra,Nervous System
a0R2P000000MburUAC,Ketamine,A-00578,,Ketamine,Clinician,Emergency use for primary care,Reviewing Consultation Feedback,Ketamine,/apptracker/s/application-public/a102P000008puUd,Nervous System
a0ROZ00000DhPjf2AF,Ketamine (community use),A-00900,Biomed,Ketamine (community use),Clinician,"Intractable pain, palliative care patients, not adequately controlled with opioids",Reviewing Consultation Feedback,Ketamine (community use) (Biomed),/apptracker/s/application-public/a102P000008puSc,Nervous System
a0R2P000000LmVjUAK,Lacosamide,A-01035,,Lacosamide,UCB Pharma,Epilepsy (third-line treatment),Decision,Lacosamide,/apptracker/s/application-public/a102P000008ptwI,Nervous System
a0R2P000000TW90UAG,Lacosamide,A-00460,Vimpat,Lacosamide,Clinician,"Epilepsy, move up to 5th line",Options Compared,Lacosamide (Vimpat),/apptracker/s/application-public/a102P000008pu5w,Nervous System
a0ROZ00000128XB2AY,Lacosamide syrup,A-04263,Te Arai,Lacosamide syrup,TE ARAI BIOFARMA LIMITED,"Epilepsy,  same line as current special authority criteria",Options Compared,Lacosamide syrup (Te Arai),/apptracker/s/application-public/a102P00000BVtwY,Nervous System
a0R2P000000LmbdUAC,Lamotrigine,A-01147,"Lamictal, Arrow-Lamotrigine, Lamotrigine-DP",Lamotrigine,GlaxoSmithKline,Bipolar disorder,Decision,"Lamotrigine (Lamictal, Arrow-Lamotrigine, Lamotrigine-DP)",/apptracker/s/application-public/a102P000008pu6j,Nervous System
a0R2P000000LmkJUAS,Levetiracetam,A-00027,Keppra,Levetiracetam,UCB Pharma,Epilepsy,Decision,Levetiracetam (Keppra),/apptracker/s/application-public/a102P000008pucY,Nervous System
a0ROZ000003PB9p2AG,Levetiracetam (subcutaneous),A-03277,Levetiracetam AFT,Levetiracetam (subcutaneous),Clinician,"Seizure control ,palliative care",Decision,Levetiracetam (subcutaneous) (Levetiracetam AFT),/apptracker/s/application-public/a102P000009utiT,Nervous System
a0ROZ000009SEaj2AG,Levodopa / Carbidopa intestinal gel,A-00539,Duodopa,Levodopa / Carbidopa intestinal gel,AbbVie,Advanced Parkinson's with severe motor fluctuations despite optimised alternative treatment,Under Assessment,Levodopa / Carbidopa intestinal gel (Duodopa),/apptracker/s/application-public/a102P000008puND,Nervous System
a0ROZ000000W3sQ2AS,Levomilnacipran,A-00796,,Levomilnacipran,Consumer,major depressive disorder,Decision,Levomilnacipran,/apptracker/s/application-public/a102P000008pu4T,Nervous System
a0R2P000000LmjSUAS,Lidocaine [lignocaine] cream 4%,A-00236,LMX4,Lidocaine [lignocaine] cream 4%,Orion,"Anaesthetic: topical, local",Decision,Lidocaine [lignocaine] cream 4% (LMX4),/apptracker/s/application-public/a102P000008pufC,Nervous System
a0R2P000000OcgvUAC,Lidocaine [lignocaine] gel 2% (community listing),A-01320,,Lidocaine [lignocaine] gel 2% (community listing),NPPA,Pain,Decision,Lidocaine [lignocaine] gel 2% (community listing),/apptracker/s/application-public/a102P000008puBw,Nervous System
a0R2P000000NNE0UAO,"Lidocaine [lignocaine] Gel 2%, 10 ml urethral syringe",A-00760,,"Lidocaine [lignocaine] Gel 2%, 10 ml urethral syringe",Clinician,Intractable rectal pain/tenesmus in palliative care,Decision,"Lidocaine [lignocaine] Gel 2%, 10 ml urethral syringe",/apptracker/s/application-public/a102P000008puYK,Nervous System
a0R2P000000TW92UAG,Lidocaine [lignocaine] with adrenaline and tetracaine (4%; 0.1%; 0.5%),A-00276,,Lidocaine [lignocaine] with adrenaline and tetracaine (4%; 0.1%; 0.5%),Subcommittee recommendation,Wound repair for children,Options Compared,Lidocaine [lignocaine] with adrenaline and tetracaine (4%; 0.1%; 0.5%),/apptracker/s/application-public/a102P000008pufj,Nervous System
a0R2P000000cT2KUAU,Lidocaine [Lignocaine] With Prilocaine,A-01345 A-03240,Emla,Lidocaine [Lignocaine] With Prilocaine,"NPPA, Consumer",Widening community access for adults,Options Compared,Lidocaine [Lignocaine] With Prilocaine (Emla),/apptracker/s/application-public/a102P000008puWa,Nervous System
a0R2P000000anbAUAQ,Lidocaine [Lignocaine] With Prilocaine,A-00275,Emla,Lidocaine [Lignocaine] With Prilocaine,Subcommittee recommendation,Pain,Decision,Lidocaine [Lignocaine] With Prilocaine (Emla),/apptracker/s/application-public/a102P000008puMy,Nervous System
a0ROZ000001kWU92AM,Lidocaine 10%,A-03630,Xylocard 500,Lidocaine 10%,Clinician,"Pain, terminally ill patients,  intravenous route is not appropriate",Decision,Lidocaine 10% (Xylocard 500),/apptracker/s/application-public/a102P00000BCCcR,Nervous System
a0R2P000000anJfUAI,"Lidocaine 2.5%, prilocaine 2.5% (Oraqix) dental cartridges",A-00759,Oraqix,"Lidocaine 2.5%, prilocaine 2.5% (Oraqix) dental cartridges",Clinician,Topical local anaesthetic for dental use,Decision,"Lidocaine 2.5%, prilocaine 2.5% (Oraqix) dental cartridges (Oraqix)",/apptracker/s/application-public/a102P000008ptsI,Nervous System
a0ROZ000005pbYv2AI,Lisdexamfetamine dimesilate,A-03211 A-03096 A-04828,VYVANSE®,Lisdexamfetamine dimesilate,"TAKEDA NEW ZEALAND LIMITED, Consumer",Attention Deficit Hyperactivity Disorder (ADHD),Decision,Lisdexamfetamine dimesilate (VYVANSE®),/apptracker/s/application-public/a102P00000BHRok,Nervous System
a0R2P000000SNPbUAO,Melatonin,A-01490,Circadin,Melatonin,Clinician,Insomnia - secondary to dementia,Decision,Melatonin (Circadin),/apptracker/s/application-public/a102P000008pu1r,Nervous System
a0R2P000000SNPvUAO,Melatonin,A-01443,Circadin,Melatonin,Aspen,"Insomnia - primary, patients aged >55 years",Decision,Melatonin (Circadin),/apptracker/s/application-public/a102P000008pubG,Nervous System
a0R2P000000TEzIUAW,Melatonin,A-01288,Circadin,Melatonin,Clinician,"Insomnia - Children and adolescents, secondary to neurodevelopmental disorders",Decision,Melatonin (Circadin),/apptracker/s/application-public/a102P000008pukf,Nervous System
a0R2P000000LmlrUAC,Meloxicam,A-00918,,Meloxicam,Clinician,Haemophilia with arthropathy,Decision,Meloxicam,/apptracker/s/application-public/a102P000008puj6,Nervous System
a0R2P000000Lmk5UAC,Memantine,A-01108,Exiba,Memantine,Clinician,Severe behavioural disturbance in patients with moderate-severe dementia,Decision,Memantine (Exiba),/apptracker/s/application-public/a102P000008pucP,Nervous System
a0R2P000000LmaBUAS,Memantine,A-00082,Exiba,Memantine,Lundbeck,Moderate to Severe Alzheimer's Disease,Decision,Memantine (Exiba),/apptracker/s/application-public/a102P000008puQB,Nervous System
a0ROZ00000BVWIE2A5,Memantine hydrochloride,A-04333,EBIXA,Memantine hydrochloride,Consumer,"Dementia, 1st line",Reviewing Consultation Feedback,Memantine hydrochloride (EBIXA),/apptracker/s/application-public/a102P00000BVtzr,Nervous System
a0ROZ00000BVlvZ2AT,Memantine hydrochloride,A-04013,Ebixa,Memantine hydrochloride,Clinician,"Dementia, moderate, cholinesterases not tolerable",Reviewing Consultation Feedback,Memantine hydrochloride (Ebixa),/apptracker/s/application-public/a102P00000BVu0Q,Nervous System
a0R2P000000LmkaUAC,Metclopramide,A-00892,,Metclopramide,Clinician,Nausea and vomiting,Decision,Metclopramide,/apptracker/s/application-public/a102P000008pueb,Nervous System
a0R2P000000LmqeUAC,Methoxyflurane,A-01225,Penthrox,Methoxyflurane,Medical Developments International,Pain,Decision,Methoxyflurane (Penthrox),/apptracker/s/application-public/a102P000008puCO,Nervous System
a0R2P000000TW8yUAG,Methoxyflurane,A-00240,Penthrox,Methoxyflurane,Medical Developments International,Pain relief,Options Compared,Methoxyflurane (Penthrox),/apptracker/s/application-public/a102P000008puQf,Nervous System
a0R2P000000LmhVUAS,Methylphenidate ER,A-00233,Concerta,Methylphenidate ER,Janssen,ADHD - second line,Decision,Methylphenidate ER (Concerta),/apptracker/s/application-public/a102P000008puFL,Nervous System
a0R2P000000LmVEUA0,Methylphenidate hydrochloride,A-01491,,Methylphenidate hydrochloride,Clinician,"Depression, treatment resistant",Decision,Methylphenidate hydrochloride,/apptracker/s/application-public/a102P000008ptyr,Nervous System
a0R2P000000LmYfUAK,Methylphenidate hydrochloride,A-00127,Ritalin LA,Methylphenidate hydrochloride,Novartis,Second line for ADHD,Decision,Methylphenidate hydrochloride (Ritalin LA),/apptracker/s/application-public/a102P000008puUi,Nervous System
a0R2P000000TGO6UAO,Methylphenidate hydrochloride,A-01396,,Methylphenidate hydrochloride,Clinician,Traumatic brain injury and acquired brain injury,Decision,Methylphenidate hydrochloride,/apptracker/s/application-public/a102P000008ptqg,Nervous System
a0R2P000000LmjeUAC,Methylphenidate Hydrochloride,A-01360,,Methylphenidate Hydrochloride,Clinician,Depression in terminally ill patients,Decision,Methylphenidate Hydrochloride,/apptracker/s/application-public/a102P000008pudU,Nervous System
a0ROZ00000096UP2AY,Mianserin Hydrochloride,A-00982,Tolvon,Mianserin Hydrochloride,Clinician,Widening access to include treatment-resistant depression,Decision,Mianserin Hydrochloride (Tolvon),/apptracker/s/application-public/a102P000008pu9H,Nervous System
